year,state_name,state_abbr,total_ac,count
2004,Idaho,ID,20569,9
2005,Idaho,ID,632339,64
2006,Idaho,ID,874407,82
2007,Idaho,ID,2258653,83
2008,Idaho,ID,147540,25
2009,Idaho,ID,11900,7
2010,Idaho,ID,632532,47
2011,Idaho,ID,376350,40
2012,Idaho,ID,1807641,77
2013,Idaho,ID,730775,48
2014,Idaho,ID,184329,21
2015,Idaho,ID,775249,62
2016,Idaho,ID,364722,30
2017,Idaho,ID,672668,57
2018,Idaho,ID,564726,53
2010,Illinois,IL,687,1
2013,Illinois,IL,1854,2
2014,Illinois,IL,4914,4
2015,Illinois,IL,2455,2
2016,Illinois,IL,2369,3
2017,Illinois,IL,2800,3
2018,Illinois,IL,724,1
2001,Indiana,IN,2361,1
2002,Indiana,IN,707,1
2003,Indiana,IN,7840,4
2004,Indiana,IN,669,1
2005,Indiana,IN,7565,2
2007,Indiana,IN,7323,4
2008,Indiana,IN,2695,2
2009,Indiana,IN,1438,2
2010,Indiana,IN,8429,8
2011,Indiana,IN,2215,1
2013,Indiana,IN,934,1
2014,Indiana,IN,910,1
2016,Indiana,IN,898,1
2017,Indiana,IN,1858,2
2000,Kansas,KS,30942,7
2001,Kansas,KS,10592,2
2002,Kansas,KS,89310,17
2003,Kansas,KS,100880,21
2004,Kansas,KS,21650,5
2005,Kansas,KS,6922,2
2006,Kansas,KS,39977,10
2007,Kansas,KS,220369,18
2008,Kansas,KS,67785,22
2009,Kansas,KS,781372,6
2010,Kansas,KS,25315,6
2011,Kansas,KS,1393104,324
2012,Kansas,KS,164503,64
2013,Kansas,KS,55122,21
2014,Kansas,KS,1744914,267
2015,Kansas,KS,1111950,240
2016,Kansas,KS,1994858,298
2017,Kansas,KS,2094987,305
2018,Kansas,KS,476675,119
2000,Kentucky,KY,46510,31
2001,Kentucky,KY,126051,42
2002,Kentucky,KY,4531,3
2003,Kentucky,KY,627,1
2004,Kentucky,KY,1770,1
2005,Kentucky,KY,9132,10
2006,Kentucky,KY,13608,15
2007,Kentucky,KY,10879,12
2008,Kentucky,KY,5997,4
2009,Kentucky,KY,6135,6
2010,Kentucky,KY,25542,18
2011,Kentucky,KY,2350,2
2012,Kentucky,KY,4120,4
2013,Kentucky,KY,8118,5
2014,Kentucky,KY,1639,2
2015,Kentucky,KY,5386,4
2016,Kentucky,KY,34342,25
2017,Kentucky,KY,2199,3
2018,Kentucky,KY,5475,4
2000,Louisiana,LA,44760,18
2001,Louisiana,LA,16730,9
2002,Louisiana,LA,30635,11
2003,Louisiana,LA,65315,27
2004,Louisiana,LA,23174,9
2005,Louisiana,LA,83948,24
2006,Louisiana,LA,28335,17
2007,Louisiana,LA,14526,2
2008,Louisiana,LA,8144,5
2009,Louisiana,LA,22500,11
2010,Louisiana,LA,122565,75
2011,Louisiana,LA,41790,10
2012,Louisiana,LA,3520,3
2013,Louisiana,LA,95210,54
2014,Louisiana,LA,56919,37
2015,Louisiana,LA,61600,50
2016,Louisiana,LA,83213,58
2017,Louisiana,LA,91521,57
2018,Louisiana,LA,83199,58
2005,Massachusetts,MA,760,1
2008,Massachusetts,MA,546,1
2000,Maryland,MD,814,1
2001,Maryland,MD,594,1
2002,Maryland,MD,697,1
2004,Maryland,MD,11850,5
2005,Maryland,MD,13231,8
2006,Maryland,MD,2299,2
2007,Maryland,MD,6270,4
2008,Maryland,MD,719,1
2009,Maryland,MD,5084,2
2011,Maryland,MD,10064,5
2012,Maryland,MD,735,1
2014,Maryland,MD,5433,1
2017,Maryland,MD,7743,1
2001,Maine,ME,627,1
2006,Maine,ME,705,1
2000,Michigan,MI,5266,1
2003,Michigan,MI,800,1
2004,Michigan,MI,1977,1
2005,Michigan,MI,2109,1
2006,Michigan,MI,12270,5
2007,Michigan,MI,20424,4
2008,Michigan,MI,2179,2
2009,Michigan,MI,4195,3
2010,Michigan,MI,9756,3
2011,Michigan,MI,2757,2
2012,Michigan,MI,22359,2
2014,Michigan,MI,3759,1
2015,Michigan,MI,4386,4
2016,Michigan,MI,4541,4
2017,Michigan,MI,3761,2
2018,Michigan,MI,5731,4
2000,Minnesota,MN,55009,25
2001,Minnesota,MN,4751,4
2002,Minnesota,MN,34005,22
2003,Minnesota,MN,122723,26
2004,Minnesota,MN,27278,15
2005,Minnesota,MN,24198,8
2006,Minnesota,MN,51534,15
2007,Minnesota,MN,90722,34
