OID_,DM,date,STATE_NAME,STATE_ABBR,Shape_Length,Shape_Area,Acres
79,0,2013-01-01,California,CA,40.86935882,5.28893879,13051416
80,0,2013-01-01,Florida,FL,63.91408709,5.406515777,14382874
81,0,2013-01-01,Georgia,GA,17.28829084,1.287467883,3333740
82,0,2013-01-01,Hawaii,HI,10.79252261,0.271406563,773506
83,0,2013-01-01,Idaho,ID,13.97407097,1.720957256,3785571
84,0,2013-01-01,Illinois,IL,23.65477022,5.748047362,13572608
85,0,2013-01-01,Indiana,IN,19.16859239,2.437212296,5761789
86,0,2013-01-01,Kentucky,KY,10.70631182,2.239595464,5452386
87,0,2013-01-01,Louisiana,LA,118.1842004,4.762048405,12507205
88,0,2013-01-01,Maine,ME,0.399812589,0.005829181,12586
89,0,2013-01-01,Michigan,MI,27.74142228,6.040552711,13477623
90,0,2013-01-01,Minnesota,MN,9.597177362,0.571384642,1160783
91,0,2013-01-01,Missouri,MO,8.227501855,0.974514327,2381056
92,0,2013-01-01,Mississippi,MS,21.80937157,3.170128491,8100576
93,0,2013-01-01,Montana,MT,26.43274887,6.08164533,12745715
94,0,2013-01-01,North Carolina,NC,16.42767514,3.844876502,9574094
95,0,2013-01-01,North Dakota,ND,25.01828345,7.477464149,15346502
96,0,2013-01-01,New Hampshire,NH,7.526720176,0.872176057,1915548
97,0,2013-01-01,New Mexico,NM,2.55737209,0.353457871,913279
98,0,2013-01-01,Nevada,NV,8.009062883,1.689038109,4162304
99,0,2013-01-01,New York,NY,5.313925493,1.654531496,3651815
100,0,2013-01-01,Ohio,OH,12.52948165,1.081864124,2523845
101,0,2013-01-01,Oregon,OR,14.8914446,4.183798578,9259977
102,0,2013-01-01,Puerto Rico,PR,1.121203652,0.045631066,132115
103,0,2013-01-01,South Carolina,SC,23.07331843,2.03836378,5179631
104,0,2013-01-01,Tennessee,TN,17.67232119,2.341672044,5798967
105,0,2013-01-01,Texas,TX,41.7181758,6.417618773,16809913
106,0,2013-01-01,Utah,UT,0.163047542,0.00112294,2741
107,0,2013-01-01,Virginia,VA,18.467443,2.059217413,5012830
108,0,2013-01-01,Vermont,VT,8.589767158,0.818048288,1796737
109,0,2013-01-01,Wisconsin,WI,19.48397494,4.43363425,9695519
110,0,2013-01-01,West Virginia,WV,8.081999828,1.306630114,3143799
111,0,2013-01-01,Wyoming,WY,4.131924202,1.098070642,2409481
112,0,2001-01-02,Alabama,AL,2.016320811,0.037713999,95703
113,0,2001-01-02,Arkansas,AR,7.799204184,1.865892235,4652404
114,0,2001-01-02,California,CA,25.60223913,12.52397708,31211534
115,0,2001-01-02,Colorado,CO,5.078482264,1.123960226,2611318
116,0,2001-01-02,Florida,FL,9.746512026,0.561536032,1528076
117,0,2001-01-02,Georgia,GA,13.05196326,2.555732516,6652817
118,0,2001-01-02,Hawaii,HI,6.424275759,0.373055488,1066538
119,0,2001-01-02,Iowa,IA,16.22527268,4.426208509,10122168
120,0,2001-01-02,Idaho,ID,1.017602894,0.045071878,90853
121,0,2001-01-02,Illinois,IL,3.317941909,0.301250488,697592
122,0,2001-01-02,Kansas,KS,17.14059492,3.835690621,9080606
123,0,2001-01-02,Kentucky,KY,16.70439471,2.308458696,5626509
124,0,2001-01-02,Louisiana,LA,81.59251273,2.194400918,5789397
125,0,2001-01-02,Maryland,MD,1.846920064,0.152988679,360616
126,0,2001-01-02,Michigan,MI,22.69093506,2.24134501,4783714
127,0,2001-01-02,Missouri,MO,14.71835636,2.347401655,5603245
128,0,2001-01-02,Mississippi,MS,14.95444134,5.798227811,14900529
129,0,2001-01-02,Montana,MT,36.49520191,8.11540836,16974436
130,0,2001-01-02,North Carolina,NC,5.973529267,2.123737712,5271249
131,0,2001-01-02,Nebraska,NE,19.49746705,17.69817272,40471797
132,0,2001-01-02,New Mexico,NM,17.148148,9.781512003,24788285
133,0,2001-01-02,Pennsylvania,PA,3.81517615,0.709894462,1663288
134,0,2001-01-02,Puerto Rico,PR,6.117683203,0.306035919,885299
135,0,2001-01-02,South Carolina,SC,7.636231027,1.623764136,4126781
136,0,2001-01-02,South Dakota,SD,10.16171139,1.130280766,2523805
137,0,2001-01-02,Tennessee,TN,11.57942852,3.411833061,8415289
138,0,2001-01-02,Texas,TX,52.43714904,14.53377742,37907312
139,0,2001-01-02,Virginia,VA,5.644382531,0.968910015,2356950
140,0,2001-01-02,West Virginia,WV,10.06838832,3.321015996,7932224
141,0,2001-01-02,Wyoming,WY,20.8664113,16.51933834,36761810
142,0,2007-01-02,Alaska,AK,101.3151854,78.44838324,104708851
143,0,2007-01-02,Alabama,AL,24.66036674,6.187778141,15885260
144,0,2007-01-02,Arkansas,AR,16.95566773,6.568908201,16528292
145,0,2007-01-02,Arizona,AZ,19.0885169,6.275814766,15829521
